episode,total_reward,avg_reward_per_agent_decision,avg_loss,epsilon,scenario
1,-41.6356,-0.019276,0.001089,1.0000,corridor_stress seed 41
2,-70.4315,-0.032607,0.000712,0.9944,evening_rush seed 41
3,-68.9056,-0.031901,0.000523,0.9888,morning_rush seed 41
4,-179.2425,-0.082983,0.000974,0.9832,off_peak seed 41
5,-40.3557,-0.018683,0.000885,0.9776,corridor_stress seed 42
6,-63.2817,-0.029297,0.000740,0.9721,evening_rush seed 42
7,-63.0694,-0.029199,0.000940,0.9665,morning_rush seed 42
8,-178.8541,-0.082803,0.000901,0.9609,off_peak seed 42
9,-38.5671,-0.017855,0.000824,0.9553,corridor_stress seed 43
10,-60.9828,-0.028233,0.000752,0.9497,evening_rush seed 43
11,-67.5336,-0.031266,0.000619,0.9441,morning_rush seed 43
12,-191.4031,-0.088613,0.001044,0.9385,off_peak seed 43
13,-42.0621,-0.019473,0.000928,0.9329,corridor_stress seed 41
14,-63.5354,-0.029415,0.000816,0.9274,evening_rush seed 41
15,-57.2957,-0.026526,0.000730,0.9218,morning_rush seed 41
16,-175.0394,-0.081037,0.000740,0.9162,off_peak seed 41
17,-41.0771,-0.019017,0.001144,0.9106,corridor_stress seed 42
18,-57.9200,-0.026815,0.001003,0.9050,evening_rush seed 42
19,-65.0046,-0.030095,0.000885,0.8994,morning_rush seed 42
20,-182.6143,-0.084544,0.000943,0.8938,off_peak seed 42
21,-40.4659,-0.018734,0.000880,0.8882,corridor_stress seed 43
22,-58.2352,-0.026961,0.001184,0.8826,evening_rush seed 43
23,-64.0178,-0.029638,0.001031,0.8771,morning_rush seed 43
24,-174.8117,-0.080931,0.000988,0.8715,off_peak seed 43
25,-39.4109,-0.018246,0.000973,0.8659,corridor_stress seed 41
26,-58.7095,-0.027180,0.000949,0.8603,evening_rush seed 41
27,-60.3341,-0.027932,0.001171,0.8547,morning_rush seed 41
28,-163.0037,-0.075465,0.001096,0.8491,off_peak seed 41
29,-39.6618,-0.018362,0.001101,0.8435,corridor_stress seed 42
30,-57.5283,-0.026633,0.001022,0.8379,evening_rush seed 42
31,-56.5680,-0.026189,0.001026,0.8324,morning_rush seed 42
32,-167.4270,-0.077512,0.001233,0.8268,off_peak seed 42
33,-39.9654,-0.018502,0.001164,0.8212,corridor_stress seed 43
34,-57.0342,-0.026405,0.001077,0.8156,evening_rush seed 43
35,-56.1153,-0.025979,0.001077,0.8100,morning_rush seed 43
36,-175.0433,-0.081039,0.001058,0.8044,off_peak seed 43
37,-39.1814,-0.018140,0.001220,0.7988,corridor_stress seed 41
38,-53.9282,-0.024967,0.001120,0.7932,evening_rush seed 41
39,-58.9736,-0.027303,0.001096,0.7876,morning_rush seed 41
40,-144.5380,-0.066916,0.001074,0.7821,off_peak seed 41
41,-40.1112,-0.018570,0.001087,0.7765,corridor_stress seed 42
42,-50.8475,-0.023541,0.001299,0.7709,evening_rush seed 42
43,-57.5276,-0.026633,0.001184,0.7653,morning_rush seed 42
44,-151.0329,-0.069923,0.001165,0.7597,off_peak seed 42
45,-40.7117,-0.018848,0.001186,0.7541,corridor_stress seed 43
46,-53.9815,-0.024991,0.001146,0.7485,evening_rush seed 43
47,-53.7581,-0.024888,0.001347,0.7429,morning_rush seed 43
48,-148.7815,-0.068880,0.001288,0.7374,off_peak seed 43
49,-39.2591,-0.018176,0.001235,0.7318,corridor_stress seed 41
50,-50.9868,-0.023605,0.001253,0.7262,evening_rush seed 41
51,-52.4523,-0.024283,0.001220,0.7206,morning_rush seed 41
52,-146.0948,-0.067636,0.001428,0.7150,off_peak seed 41
53,-37.2157,-0.017229,0.001418,0.7094,corridor_stress seed 42
54,-52.0447,-0.024095,0.001350,0.7038,evening_rush seed 42
55,-53.6445,-0.024835,0.001341,0.6982,morning_rush seed 42
56,-140.1173,-0.064869,0.001332,0.6926,off_peak seed 42
57,-38.8307,-0.017977,0.001413,0.6871,corridor_stress seed 43
58,-51.8666,-0.024012,0.001377,0.6815,evening_rush seed 43
59,-55.5176,-0.025703,0.001387,0.6759,morning_rush seed 43
60,-132.1421,-0.061177,0.001359,0.6703,off_peak seed 43
61,-38.7026,-0.017918,0.001366,0.6647,corridor_stress seed 41
62,-48.3217,-0.022371,0.001506,0.6591,evening_rush seed 41
63,-55.1561,-0.025535,0.001455,0.6535,morning_rush seed 41
64,-124.3756,-0.057581,0.001467,0.6479,off_peak seed 41
65,-38.3770,-0.017767,0.001495,0.6424,corridor_stress seed 42
66,-52.0481,-0.024096,0.001429,0.6368,evening_rush seed 42
67,-58.3998,-0.027037,0.001556,0.6312,morning_rush seed 42
68,-142.1131,-0.065793,0.001593,0.6256,off_peak seed 42
70,-49.3291,-0.022838,0.001559,0.6144,evening_rush seed 43
71,-49.9044,-0.023104,0.001595,0.6088,morning_rush seed 43
72,-128.9943,-0.059720,0.001646,0.6032,off_peak seed 43
73,-38.9387,-0.018027,0.001633,0.5976,corridor_stress seed 41
74,-47.3272,-0.021911,0.001601,0.5921,evening_rush seed 41
75,-50.2955,-0.023285,0.001609,0.5865,morning_rush seed 41
76,-124.1146,-0.057460,0.001579,0.5809,off_peak seed 41
77,-37.5800,-0.017398,0.001644,0.5753,corridor_stress seed 42
78,-46.8950,-0.021711,0.001666,0.5697,evening_rush seed 42
79,-54.2375,-0.025110,0.001634,0.5641,morning_rush seed 42
80,-121.1791,-0.056101,0.001676,0.5585,off_peak seed 42
81,-36.8262,-0.017049,0.001666,0.5529,corridor_stress seed 43
82,-47.3375,-0.021916,0.001777,0.5474,evening_rush seed 43
83,-50.7563,-0.023498,0.001751,0.5418,morning_rush seed 43
84,-113.2247,-0.052419,0.001779,0.5362,off_peak seed 43
85,-38.8420,-0.017982,0.001703,0.5306,corridor_stress seed 41
86,-43.5936,-0.020182,0.001756,0.5250,evening_rush seed 41
87,-46.8141,-0.021673,0.001817,0.5194,morning_rush seed 41
88,-111.1968,-0.051480,0.001805,0.5138,off_peak seed 41
89,-36.1762,-0.016748,0.001873,0.5082,corridor_stress seed 42
90,-45.9415,-0.021269,0.001830,0.5026,evening_rush seed 42
91,-47.0783,-0.021795,0.001862,0.4971,morning_rush seed 42
92,-115.8434,-0.053631,0.001902,0.4915,off_peak seed 42
93,-36.3349,-0.016822,0.001902,0.4859,corridor_stress seed 43
94,-47.0130,-0.021765,0.001856,0.4803,evening_rush seed 43
95,-46.8916,-0.021709,0.001893,0.4747,morning_rush seed 43
96,-107.8649,-0.049937,0.001949,0.4691,off_peak seed 43
97,-37.4959,-0.017359,0.001935,0.4635,corridor_stress seed 41
98,-41.2075,-0.019078,0.001884,0.4579,evening_rush seed 41
99,-44.7579,-0.020721,0.001933,0.4524,morning_rush seed 41
100,-99.1719,-0.045913,0.001943,0.4468,off_peak seed 41
101,-38.2066,-0.017688,0.001878,0.4412,corridor_stress seed 42
102,-43.7505,-0.020255,0.001971,0.4356,evening_rush seed 42
103,-49.8067,-0.023059,0.002104,0.4300,morning_rush seed 42
104,-101.8050,-0.047132,0.001922,0.4244,off_peak seed 42
105,-34.8956,-0.016155,0.001963,0.4188,corridor_stress seed 43
106,-42.0669,-0.019475,0.001961,0.4132,evening_rush seed 43
107,-45.8240,-0.021215,0.002061,0.4076,morning_rush seed 43
108,-100.3285,-0.046448,0.002031,0.4021,off_peak seed 43
109,-36.6368,-0.016961,0.001923,0.3965,corridor_stress seed 41
110,-32.9871,-0.015272,0.001974,0.3909,evening_rush seed 41
111,-45.3425,-0.020992,0.001980,0.3853,morning_rush seed 41
112,-103.9885,-0.048143,0.002108,0.3797,off_peak seed 41
113,-36.0270,-0.016679,0.001981,0.3741,corridor_stress seed 42
114,-39.8844,-0.018465,0.002039,0.3685,evening_rush seed 42
115,-46.8539,-0.021692,0.002051,0.3629,morning_rush seed 42
116,-93.9002,-0.043472,0.002061,0.3574,off_peak seed 42
117,-36.5260,-0.016910,0.002129,0.3518,corridor_stress seed 43
118,-34.2749,-0.015868,0.002149,0.3462,evening_rush seed 43
119,-46.0325,-0.021311,0.002103,0.3406,morning_rush seed 43
120,-93.9661,-0.043503,0.002127,0.3350,off_peak seed 43
121,-35.7697,-0.016560,0.002176,0.3294,corridor_stress seed 41
122,-35.8331,-0.016589,0.002285,0.3238,evening_rush seed 41
123,-47.1161,-0.021813,0.002173,0.3182,morning_rush seed 41
124,-91.8509,-0.042524,0.002207,0.3126,off_peak seed 41
125,-35.2730,-0.016330,0.002288,0.3071,corridor_stress seed 42
126,-34.1560,-0.015813,0.002126,0.3015,evening_rush seed 42
127,-43.5845,-0.020178,0.002330,0.2959,morning_rush seed 42
128,-93.1160,-0.043109,0.002273,0.2903,off_peak seed 42
129,-34.5645,-0.016002,0.002255,0.2847,corridor_stress seed 43
130,-40.2340,-0.018627,0.002291,0.2791,evening_rush seed 43
131,-47.1376,-0.021823,0.002298,0.2735,morning_rush seed 43
132,-92.5782,-0.042860,0.002365,0.2679,off_peak seed 43
133,-35.4018,-0.016390,0.002350,0.2624,corridor_stress seed 41
134,-35.2390,-0.016314,0.002389,0.2568,evening_rush seed 41
135,-42.0971,-0.019489,0.002393,0.2512,morning_rush seed 41
136,-87.7337,-0.040617,0.002376,0.2456,off_peak seed 41
137,-35.8063,-0.016577,0.002486,0.2400,corridor_stress seed 42
